istat;iddat;datum;name;nome;positiv;antigen;pcr(pos-geh)-tote;quarantaene;sumPos(pcr+antigen);pcr(pos-geh)+antigen(pos-geh)-tote;
---;20201218;2020-12-18 00:00:00.0;Außerhalb der Provinz;Fuori provincia;538;50;215;180;588;null;
---;20201219;2020-12-19 00:00:00.0;Außerhalb der Provinz;Fuori provincia;540;51;216;184;591;null;
---;20201220;2020-12-20 00:00:00.0;Außerhalb der Provinz;Fuori provincia;554;54;230;185;608;null;
---;20201221;2020-12-21 00:00:00.0;Außerhalb der Provinz;Fuori provincia;552;56;225;185;608;null;
---;20201222;2020-12-22 00:00:00.0;Außerhalb der Provinz;Fuori provincia;552;57;101;190;609;null;
---;20201223;2020-12-23 00:00:00.0;Außerhalb der Provinz;Fuori provincia;556;62;95;194;618;null;
---;20201224;2020-12-24 00:00:00.0;Außerhalb der Provinz;Fuori provincia;559;63;96;204;622;null;
---;20201225;2020-12-25 00:00:00.0;Außerhalb der Provinz;Fuori provincia;565;65;108;196;630;null;
---;20201226;2020-12-26 00:00:00.0;Außerhalb der Provinz;Fuori provincia;565;65;107;184;630;null;
---;20201227;2020-12-27 00:00:00.0;Außerhalb der Provinz;Fuori provincia;565;65;107;179;630;null;
---;20201228;2020-12-28 00:00:00.0;Außerhalb der Provinz;Fuori provincia;569;66;110;179;635;null;
---;20201229;2020-12-29 00:00:00.0;Außerhalb der Provinz;Fuori provincia;571;66;109;178;637;null;
---;20201230;2020-12-30 00:00:00.0;Außerhalb der Provinz;Fuori provincia;572;69;99;188;641;null;
---;20201231;2020-12-31 00:00:00.0;Außerhalb der Provinz;Fuori provincia;575;69;100;195;644;null;
---;20210101;2021-01-01 00:00:00.0;Außerhalb der Provinz;Fuori provincia;577;76;100;193;653;null;
---;20210102;2021-01-02 00:00:00.0;Außerhalb der Provinz;Fuori provincia;580;77;103;180;657;null;
---;20210103;2021-01-03 00:00:00.0;Außerhalb der Provinz;Fuori provincia;581;79;104;168;660;null;
---;20210104;2021-01-04 00:00:00.0;Außerhalb der Provinz;Fuori provincia;585;79;108;169;664;null;
---;20210105;2021-01-05 00:00:00.0;Außerhalb der Provinz;Fuori provincia;591;81;112;171;672;null;
---;20210106;2021-01-06 00:00:00.0;Außerhalb der Provinz;Fuori provincia;594;86;107;171;680;null;
---;20210107;2021-01-07 00:00:00.0;Außerhalb der Provinz;Fuori provincia;596;87;109;179;683;null;
---;20210108;2021-01-08 00:00:00.0;Außerhalb der Provinz;Fuori provincia;598;92;111;191;690;null;
---;20210109;2021-01-09 00:00:00.0;Außerhalb der Provinz;Fuori provincia;603;92;110;191;695;null;
---;20210110;2021-01-10 00:00:00.0;Außerhalb der Provinz;Fuori provincia;609;94;116;194;703;null;
---;20210111;2021-01-11 00:00:00.0;Außerhalb der Provinz;Fuori provincia;611;95;115;184;706;null;
---;20210112;2021-01-12 00:00:00.0;Außerhalb der Provinz;Fuori provincia;613;95;114;179;708;null;
---;20210113;2021-01-13 00:00:00.0;Außerhalb der Provinz;Fuori provincia;615;95;111;186;710;null;
---;20210114;2021-01-14 00:00:00.0;Außerhalb der Provinz;Fuori provincia;616;95;111;216;711;null;
---;20210115;2021-01-15 00:00:00.0;Außerhalb der Provinz;Fuori provincia;616;98;110;223;714;null;
---;20210116;2021-01-16 00:00:00.0;Außerhalb der Provinz;Fuori provincia;622;100;115;238;722;null;
---;20210117;2021-01-17 00:00:00.0;Außerhalb der Provinz;Fuori provincia;623;100;113;236;723;null;
---;20210118;2021-01-18 00:00:00.0;Außerhalb der Provinz;Fuori provincia;623;100;112;229;723;null;
