"","occupati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"001 Aldino",468,503,516,505,514,519,521,529,529,528,532,545,555,572,568,569,564,550,559,559,566,570,595,618,631,605,599,620,627
"002 Andriano",208,210,213,215,224,224,231,244,243,268,291,311,337,369,385,394,411,397,393,390,400,407,404,400,402,391,403,414,430
"003 Anterivo",103,109,114,124,122,120,122,120,122,122,122,134,134,132,127,127,128,128,129,131,134,141,151,152,150,141,147,146,149
"004 Appiano s.s.d.v.",3384,3544,3606,3682,3780,3904,4006,4135,4176,4291,4456,4563,4758,4873,4861,4907,4958,5018,5032,5113,5195,5340,5477,5631,5707,5564,5574,5690,5801
"005 Avelengo",148,158,169,172,182,189,202,207,219,219,238,244,261,262,253,258,262,277,280,279,278,292,324,362,382,335,341,403,410
"006 Badia",977,1005,1008,1054,1075,1089,1152,1201,1237,1260,1256,1264,1314,1346,1376,1445,1435,1436,1435,1432,1496,1538,1606,1719,1801,1503,1371,1869,1937
"007 Barbiano",415,437,453,449,464,480,484,500,507,512,532,551,553,551,566,570,586,597,606,634,652,657,685,705,704,686,673,700,700
"008 Bolzano",30020,30963,31881,32409,32820,33624,34409,34500,34308,34673,34982,35386,35904,36094,35529,35527,35784,35786,35826,36049,36491,37803,39337,40736,41827,41479,42242,43615,44765
"009 Braies",163,161,171,178,175,178,188,188,190,200,210,218,229,231,224,221,229,231,226,227,233,246,260,268,262,250,256,289,316
"010 Brennero",645,678,680,692,673,671,665,678,688,685,694,696,734,788,785,749,755,750,735,741,749,752,780,844,867,849,866,949,1026
"011 Bressanone",5471,5617,5730,5793,5927,6077,6243,6351,6394,6567,6727,6927,7197,7336,7311,7268,7372,7497,7633,7723,7887,8221,8566,8912,9112,8995,9185,9554,9725
"012 Bronzolo",730,725,738,756,770,795,811,821,855,884,906,945,975,1009,1029,1005,1012,1021,1024,1007,1010,1065,1072,1067,1069,1041,1059,1062,1056
"013 Brunico",4253,4368,4479,4561,4676,4753,4786,4835,4818,4905,5032,5168,5301,5464,5433,5496,5596,5623,5665,5781,5881,6047,6312,6566,6733,6571,6659,6985,7126
"014 Caines",90,91,90,95,103,96,94,98,104,107,105,112,115,116,121,121,120,123,128,131,133,133,136,142,140,129,130,139,148
"015 Caldaro s.s.d.v.",1990,2035,2064,2071,2098,2211,2293,2404,2426,2437,2569,2610,2703,2733,2717,2676,2695,2723,2746,2756,2814,2902,2979,3016,3071,2927,3013,3125,3210
"016 Campo di Trens",705,736,753,763,786,821,833,849,899,935,965,1005,1047,1074,1079,1092,1109,1133,1113,1123,1091,1102,1226,1408,1583,1622,1575,1546,1552
"017 Campo Tures",1509,1543,1560,1579,1602,1640,1659,1707,1757,1781,1814,1877,1913,1905,1878,1896,1922,1945,1955,1981,2023,2069,2176,2276,2337,2280,2348,2464,2534
"018 Castelbello-Ciardes",601,613,656,670,667,677,701,721,732,735,755,774,810,827,837,859,858,835,873,867,858,867,865,911,957,904,968,976,985
"019 Castelrotto",1644,1714,1759,1767,1799,1815,1878,1952,2006,2035,2117,2165,2227,2261,2234,2237,2237,2325,2368,2415,2482,2570,2637,2737,2779,2555,2522,2944,3107
"020 Cermes",278,290,289,303,327,349,365,386,391,428,464,483,508,528,536,526,535,547,558,590,592,610,614,606,602,582,611,630,629
"021 Chienes",875,896,918,922,952,955,975,987,1027,1054,1091,1117,1123,1123,1112,1114,1136,1158,1188,1198,1223,1277,1329,1376,1395,1362,1395,1474,1507
"022 Chiusa",1389,1433,1483,1528,1575,1622,1646,1666,1766,1815,1835,1907,1966,2014,2005,1996,1997,1977,1979,2011,2032,2065,2089,2122,2147,2092,2103,2172,2187
"023 Cornedo all'Isarco",923,951,972,968,999,1073,1125,1132,1151,1150,1159,1171,1223,1218,1223,1202,1196,1199,1205,1219,1234,1261,1291,1354,1342,1300,1358,1410,1436
"024 Cortaccia s.s.d.v.",526,565,577,589,597,619,648,659,670,680,696,719,771,808,843,852,888,898,912,937,924,933,961,1048,1090,1080,1098,1170,1247
"025 Cortina s.s.d.v.",159,158,154,154,159,167,183,180,185,188,193,189,194,203,207,203,207,215,213,217,215,224,242,240,249,250,254,263,271
"026 Corvara in Badia",475,516,524,532,558,563,600,630,638,660,654,663,686,698,715,757,767,768,771,770,797,829,880,956,984,776,694,1073,1157
"027 Curon Venosta",507,556,581,586,594,599,610,619,619,630,647,678,676,665,652,645,658,653,659,672,673,682,704,695,702,650,638,712,732
"028 Dobbiaco",947,996,1033,1067,1072,1114,1132,1153,1193,1226,1240,1274,1263,1243,1231,1223,1248,1238,1253,1259,1258,1268,1302,1343,1366,1286,1281,1419,1481
"029 Egna",1412,1474,1530,1637,1687,1729,1767,1724,1774,1798,1806,1840,1903,1947,1937,1924,1941,1997,1988,1995,2001,2076,2164,2247,2313,2320,2340,2380,2462
"030 Falzes",643,651,668,681,707,750,777,801,843,873,895,930,967,1004,1027,1062,1087,1105,1138,1170,1173,1190,1212,1254,1298,1283,1346,1409,1485
"031 Fie' allo Sciliar",835,863,881,910,917,937,959,988,1006,1036,1055,1091,1167,1151,1158,1177,1194,1223,1222,1222,1257,1285,1325,1352,1369,1304,1332,1411,1424
"032 Fortezza",292,290,291,301,293,310,313,325,328,338,346,351,355,381,383,367,355,364,374,375,376,382,463,609,634,681,731,618,600
"033 Funes",686,703,711,721,727,729,749,760,762,775,801,830,861,875,871,893,902,918,926,922,934,956,969,988,1008,978,1005,1053,1067
"034 Gais",892,912,927,955,985,1002,1030,1065,1091,1128,1151,1180,1212,1242,1227,1242,1284,1303,1313,1332,1339,1356,1400,1457,1459,1403,1406,1433,1447
"035 Gargazzone",360,360,377,389,400,422,450,467,497,510,516,529,562,575,590,606,633,631,633,654,642,654,662,686,713,700,741,717,721
"036 Glorenza",224,238,255,261,262,263,266,264,276,293,298,318,315,316,305,310,320,325,323,331,318,306,300,311,308,287,291,303,292
"037 Laces",1234,1227,1303,1336,1354,1439,1527,1572,1604,1637,1712,1772,1839,1865,1901,1950,2018,1995,2084,2138,2159,2185,2188,2240,2326,2186,2277,2296,2351
"038 Lagundo",1073,1099,1125,1127,1156,1191,1212,1218,1239,1315,1382,1418,1505,1580,1649,1677,1705,1751,1774,1812,1853,1888,1908,1928,1945,1846,1901,1991,1986
"039 Laion",681,705,699,709,726,755,781,805,833,863,870,900,915,942,951,948,946,933,929,930,944,990,1011,1053,1075,1061,1064,1109,1125
"040 Laives",4759,4880,5143,5255,5410,5571,5766,5791,5786,5863,5949,6092,6301,6409,6336,6436,6484,6476,6369,6419,6587,6797,6894,7123,7211,7140,7226,7460,7717
"041 Lana",2597,2675,2766,2812,2874,3002,3158,3285,3399,3490,3603,3729,3904,3975,4036,4117,4237,4293,4369,4454,4605,4622,4739,4967,5040,4804,4932,5027,5071
"042 Lasa",983,1010,1034,1056,1085,1117,1138,1157,1165,1191,1226,1258,1304,1325,1364,1371,1395,1392,1428,1447,1473,1503,1531,1595,1684,1686,1688,1718,1741
"043 Lauregno",56,64,59,64,67,71,73,73,70,74,76,80,88,86,81,84,84,85,88,89,88,87,93,103,109,112,117,121,114
"044 Luson",436,448,459,477,486,486,479,494,502,515,518,531,545,559,559,570,559,559,579,590,593,609,615,630,634,627,645,680,695
"045 Magre' s.s.d.v.",342,350,368,390,390,409,414,422,442,445,443,447,479,496,500,499,485,492,484,487,486,487,500,497,523,514,520,538,558
"046 Malles Venosta",1203,1238,1283,1329,1353,1363,1408,1434,1467,1502,1564,1575,1601,1624,1592,1591,1618,1636,1665,1669,1707,1739,1802,1820,1864,1770,1803,1862,1825
"047 Marebbe",702,722,734,748,759,781,785,798,810,835,854,894,918,944,976,993,1007,1001,1017,1020,1002,1039,1071,1120,1175,1081,1064,1243,1327
"048 Marlengo",638,650,660,672,680,688,691,708,720,737,745,781,819,839,887,883,906,934,942,949,967,1009,1033,1105,1141,1094,1110,1143,1139
"049 Martello",224,228,241,252,245,256,274,278,274,282,288,295,302,306,308,320,321,324,328,326,324,338,351,359,358,336,351,358,374
"050 Meltina",365,374,381,396,400,400,404,420,436,452,480,505,526,538,544,554,566,575,567,572,576,598,624,628,633,621,637,655,666
"051 Merano",9831,9926,10018,10156,10225,10583,10675,10777,10847,10940,11164,11349,11611,11743,11703,11888,12147,12126,12263,12326,12577,13047,13596,14094,14423,13659,14060,14841,15048
"052 Monguelfo-Tesido",749,772,776,787,809,824,878,911,898,892,884,901,951,978,984,993,1000,990,1012,1025,1025,1049,1092,1120,1134,1095,1093,1139,1148
