jj	Sesso	gem	disoccupati	dis1564
1998	F	1	13.552368152	13.552368152
1998	F	2	8.0445020481	8.0445020481
1998	F	3	1.3532258065	1.3532258065
1998	F	4	80.196972606	80.048739119
1998	F	5	11.102598566	11.102598566
1998	F	6	48.633134921	48.633134921
1998	F	7	12.573630312	12.573630312
1998	F	8	845.94877112	844.97218382
1998	F	9	3.9844982079	3.9844982079
1998	F	10	24.157155658	24.127585765
1998	F	11	139.86512417	139.86512417
1998	F	12	18.763709677	18.763709677
1998	F	13	124.41666027	124.41666027
1998	F	14	3.7829941116	3.7829941116
1998	F	15	51.298380696	51.298380696
1998	F	16	26.95546595	26.854480287
1998	F	17	43.637147977	43.637147977
1998	F	18	22.346959805	22.346959805
1998	F	19	56.139144905	55.6531234
1998	F	20	8.9175563236	8.9175563236
1998	F	21	29.770135689	29.770135689
1998	F	22	26.045986943	26.045986943
1998	F	23	23.988671275	23.988671275
1998	F	24	8.5416794675	8.5416794675
1998	F	25	3.7950716846	3.7950716846
1998	F	26	17.616468254	17.616468254
1998	F	27	25.125390425	25.125390425
1998	F	28	44.883550947	44.883550947
1998	F	29	23.902195341	23.902195341
1998	F	30	18.518177163	18.518177163
1998	F	31	23.898348694	23.898348694
1998	F	32	5.1964157706	5.1964157706
1998	F	33	22.608333333	22.608333333
1998	F	34	27.284037378	27.284037378
1998	F	35	8.2177291347	8.2177291347
1998	F	36	4.6994559652	4.6994559652
1998	F	37	43.563396057	43.563396057
1998	F	38	55.235362263	55.235362263
1998	F	39	15.159735023	15.159735023
1998	F	40	140.56765873	140.56765873
1998	F	41	104.61553379	104.61553379
1998	F	42	28.498566308	28.498566308
1998	F	43	1.4520609319	1.4520609319
1998	F	44	15.234946237	15.234946237
1998	F	45	6.7338005632	6.7338005632
1998	F	46	43.019834869	43.019834869
1998	F	47	33.785029442	33.785029442
1998	F	48	25.311219918	25.311219918
1998	F	49	15.418407578	15.398963134
1998	F	50	9.6968766001	9.6968766001
1998	F	51	401.12473758	400.42330389
1998	F	52	20.13640553	20.13640553
1998	F	53	5.8068100358	5.8068100358
1998	F	54	34.464157706	34.464157706
1998	F	55	11.674103943	11.674103943
1998	F	56	61.996966206	61.996966206
1998	F	57	10.738773682	10.738773682
1998	F	58	13.069566052	13.069566052
