"","occupati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"001 Aldino",107,120,123,121,123,131,139,141,167,175,186,197,203,227,228,239,240,239,228,217,212,214,223,223,226,212,218,237,240
"002 Andriano",114,111,109,86,78,81,89,101,106,117,119,132,152,167,218,222,225,223,217,208,194,199,209,200,212,199,215,227,233
"003 Anterivo",20,23,21,26,23,24,25,25,26,25,23,25,27,24,27,27,27,26,26,22,25,25,25,29,27,23,26,32,36
"004 Appiano s.s.d.v.",2407,2541,2580,2575,2613,2727,2790,2934,2984,3128,3263,3412,3579,3662,3728,3772,3789,3817,3791,3848,3954,4018,4132,4311,4444,4336,4391,4597,4727
"005 Avelengo",82,91,95,96,107,115,125,134,138,135,144,151,153,157,184,202,228,250,257,249,270,331,380,412,437,349,347,472,475
"006 Badia",907,944,946,989,1013,987,1026,1056,1112,1152,1193,1269,1324,1339,1391,1464,1453,1452,1477,1459,1510,1575,1637,1748,1820,1513,1366,1865,1923
"007 Barbiano",146,162,175,179,192,204,217,251,271,299,333,372,391,381,419,485,494,501,522,538,526,544,565,582,596,583,573,577,564
"008 Bolzano",48166,49411,50319,51038,51564,52653,53261,53602,53798,54187,54051,53999,53698,54580,54021,53958,54138,54006,54132,54516,55264,57228,58896,60696,61588,61100,62109,63402,64924
"009 Braies",64,62,73,77,68,74,78,74,76,83,88,87,98,104,103,109,114,120,124,126,135,154,191,214,221,202,194,233,247
"010 Brennero",388,419,356,306,254,286,347,362,370,362,359,376,421,607,657,663,615,605,632,648,676,678,724,860,862,786,742,825,863
"011 Bressanone",6241,6499,6696,6859,7150,7404,7777,8043,8217,8402,8779,9358,10035,10172,10020,9967,10108,10264,10354,10436,10671,11185,11605,11944,12096,12017,12216,12646,12868
"012 Bronzolo",364,363,354,352,375,387,378,376,509,536,575,562,557,543,537,511,509,505,436,370,383,390,399,424,453,445,446,436,419
"013 Brunico",6816,7100,7336,7555,7840,8061,8312,8628,8676,8720,8914,9205,9721,10035,9937,10110,10365,10512,10584,10802,10931,11207,11602,11881,11964,11860,12176,12342,12494
"014 Caines",11,12,10,10,11,15,14,11,15,14,14,32,39,32,28,33,35,30,30,28,27,28,29,34,32,28,30,31,34
"015 Caldaro s.s.d.v.",1495,1520,1566,1603,1618,1654,1684,1759,1746,1775,1836,1826,1865,1899,1917,1964,2008,2042,2021,2037,2072,2123,2236,2310,2382,2197,2314,2434,2463
"016 Campo di Trens",316,343,375,405,428,466,493,502,548,592,679,716,720,760,788,804,827,900,876,869,800,792,965,1147,1352,1442,1437,1418,1434
"017 Campo Tures",1743,1737,1748,1758,1772,1830,1833,1833,1887,1982,2106,2197,2255,2196,2189,2224,2178,2174,2169,2106,2064,2105,2165,2341,2407,2364,2440,2596,2609
"018 Castelbello-Ciardes",390,392,418,422,425,435,482,481,476,459,480,484,505,501,537,552,570,555,593,632,629,625,638,658,705,702,734,696,699
"019 Castelrotto",1521,1602,1620,1633,1632,1654,1699,1794,1840,1867,1891,1962,2100,2156,2202,2229,2298,2339,2350,2366,2424,2488,2557,2698,2740,2423,2332,2907,3077
"020 Cermes",177,173,198,219,218,226,216,193,195,222,229,222,219,221,213,213,223,240,276,325,331,345,352,365,403,368,383,397,361
"021 Chienes",776,790,799,817,822,862,879,903,933,995,1047,1089,1088,1011,1004,1006,1017,1056,1062,1038,1036,1064,1109,1161,1190,1109,1136,1294,1312
"022 Chiusa",1058,1093,1106,1128,1160,1207,1225,1219,1307,1337,1337,1378,1462,1492,1463,1419,1362,1333,1360,1374,1385,1417,1441,1458,1456,1358,1381,1393,1408
"023 Cornedo all'Isarco",541,545,557,582,609,646,670,636,619,619,683,725,773,846,873,878,905,874,880,880,913,938,988,1063,1084,1078,1110,1102,1084
"024 Cortaccia s.s.d.v.",295,327,325,341,349,389,426,445,470,501,592,667,690,715,780,824,863,904,928,946,914,938,975,1074,1139,1147,1185,1265,1380
"025 Cortina s.s.d.v.",47,48,50,45,49,50,52,57,53,55,53,53,64,70,71,74,75,74,76,76,75,81,93,85,98,85,93,108,116
"026 Corvara in Badia",794,821,817,821,822,827,848,895,928,964,991,984,1034,1051,1067,1076,1061,1057,1036,1020,1078,1106,1154,1223,1242,979,834,1284,1369
"027 Curon Venosta",325,352,353,352,348,350,381,413,428,428,455,461,448,444,435,432,441,454,462,475,490,498,537,551,573,500,468,588,627
"028 Dobbiaco",875,911,924,938,932,949,961,963,980,1007,1018,1070,1090,1085,1082,1101,1142,1133,1141,1136,1146,1143,1182,1199,1216,1103,1096,1198,1248
"029 Egna",1656,1693,1789,1835,1815,1903,1997,2158,2545,2618,2621,2678,2802,2825,2793,2786,2813,2839,2778,2748,2703,2776,2840,2895,2943,2905,2964,3013,3052
"030 Falzes",190,202,204,217,216,212,224,230,257,288,296,299,303,308,339,352,357,368,390,404,423,436,455,498,540,531,560,556,643
"031 Fie' allo Sciliar",406,423,423,429,440,445,459,476,530,570,576,592,608,600,605,615,615,636,608,619,643,662,692,705,716,693,707,779,799
"032 Fortezza",200,202,206,240,275,286,310,297,294,256,231,228,240,279,294,257,235,235,254,265,278,284,399,625,664,701,764,576,487
"033 Funes",223,229,235,234,223,225,235,252,263,280,302,322,332,335,342,357,362,372,373,370,376,385,393,404,411,384,398,422,430
"034 Gais",322,343,354,382,398,425,444,462,489,519,526,543,555,597,592,603,608,623,650,694,704,719,759,772,774,733,749,811,829
"035 Gargazzone",182,183,206,234,230,222,233,250,249,272,281,264,254,237,294,311,324,343,358,352,334,367,387,407,420,388,395,395,382
"036 Glorenza",206,229,242,235,237,241,255,262,275,288,291,272,292,295,299,307,312,360,376,368,364,378,362,362,361,344,366,375,383
"037 Laces",1044,1077,1170,1196,1212,1264,1307,1351,1392,1432,1492,1508,1538,1612,1653,1701,1740,1664,1744,1786,1781,1745,1767,1821,1905,1707,1799,1794,1835
"038 Lagundo",1123,1128,1159,1183,1192,1199,1143,1142,1172,1202,1233,1304,1445,1523,1548,1586,1588,1608,1677,1671,1659,1713,1791,1854,1894,1731,1923,2096,2141
"039 Laion",611,636,651,612,604,615,609,583,552,523,493,496,482,474,497,495,483,482,491,505,531,536,561,573,587,570,584,603,624
"040 Laives",3019,3254,3705,3671,3802,3916,4038,3909,3857,3926,3939,4053,4275,4215,4082,4062,4204,4245,4184,4286,4434,4525,4563,4657,4753,4782,4800,4703,4823
"041 Lana",2683,2760,2875,2936,2972,3058,3202,3305,3446,3474,3560,3660,3798,3874,3985,4084,4252,4307,4333,4368,4514,4511,4695,4872,5037,4976,5170,5268,5433
"042 Lasa",631,773,796,851,862,887,942,968,968,965,1004,1008,1050,1081,1116,1144,1196,1229,1256,1304,1283,1316,1348,1350,1364,1345,1313,1337,1324
"043 Lauregno",20,30,25,26,27,30,36,40,41,45,43,44,49,48,48,52,51,48,48,50,51,53,51,54,53,52,51,51,50
"044 Luson",118,117,109,111,106,101,108,114,116,142,155,167,180,191,199,207,203,213,216,221,228,253,266,262,279,254,271,310,321
"045 Magre' s.s.d.v.",142,142,157,156,130,129,153,188,216,199,222,215,226,231,240,250,256,277,279,286,289,284,302,304,315,317,311,329,344
"046 Malles Venosta",786,828,894,940,966,985,989,989,1015,1085,1156,1221,1254,1226,1234,1246,1297,1340,1379,1371,1419,1479,1533,1593,1648,1589,1627,1717,1761
"047 Marebbe",487,497,497,513,532,546,565,615,620,643,660,702,749,769,802,808,817,789,792,806,808,832,837,868,926,813,758,977,1044
"048 Marlengo",458,458,483,477,469,490,495,517,528,509,509,512,523,552,587,584,599,614,611,653,666,713,773,807,819,706,748,858,866
"049 Martello",48,57,63,75,78,83,93,94,97,103,111,122,136,121,122,129,132,134,139,139,148,149,149,132,133,125,128,144,153
"050 Meltina",87,82,79,80,84,101,117,134,149,145,154,166,173,179,172,172,178,177,172,168,167,177,183,185,197,196,200,206,228
"051 Merano",10106,10218,10445,10790,10988,11483,11797,12013,12145,12337,12682,13187,13777,14086,14093,14338,14591,14520,14431,14552,14846,15064,15357,15770,16101,15568,15793,16189,16265
"052 Monguelfo-Tesido",609,614,632,652,656,679,684,672,690,724,735,768,806,828,857,847,845,847,860,852,832,852,867,932,1099,1085,1126,1171,1154
"053 Montagna s.s.d.v.",194,208,206,215,234,210,210,237,238,241,253,267,275,285,299,300,302,296,296,313,324,346,383,412,443,430,443,492,511
"054 Moso in Passiria",102,114,113,111,117,121,125,131,140,144,156,162,185,203,221,237,256,265,279,295,306,331,353,360,368,366,366,402,402
