"","occupati",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"001 Aldino",25,27,26,26,28,31,37,40,52,60,73,78,78,92,94,103,107,112,94,85,85,87,85,82,86,80,79,86,92
"002 Andriano",56,55,54,37,31,28,34,47,56,63,61,69,87,98,146,152,147,147,141,138,128,128,134,130,137,134,149,153,155
"003 Anterivo",4,3,3,4,4,6,6,8,7,7,7,8,8,7,8,9,8,8,8,6,8,6,6,9,8,6,8,10,9
"004 Appiano s.s.d.v.",1097,1110,1120,1133,1129,1204,1226,1314,1380,1461,1493,1616,1705,1773,1822,1824,1834,1844,1832,1863,1957,2031,2099,2188,2269,2238,2290,2442,2504
"005 Avelengo",45,45,47,48,54,61,63,73,74,68,69,71,70,81,103,115,144,155,154,143,163,215,243,257,271,217,217,293,285
"006 Badia",314,333,347,359,362,366,368,382,400,410,435,474,497,500,508,519,509,511,522,513,534,566,598,629,653,574,533,681,698
"007 Barbiano",57,62,73,82,88,99,105,127,137,154,177,199,220,223,253,314,317,320,334,345,332,350,360,369,389,385,390,386,375
"008 Bolzano",22215,22570,22729,22952,23086,23485,23506,23818,24084,24141,23828,23524,22942,23556,23420,23330,23362,23292,23350,23603,23999,24880,25384,26099,26286,26050,26406,26681,26975
"009 Braies",32,32,36,39,36,39,44,40,38,37,40,39,49,51,54,59,64,70,77,82,87,105,133,146,154,138,127,146,145
"010 Brennero",194,196,160,125,104,138,184,187,193,189,197,215,245,393,429,435,377,369,380,401,426,440,463,538,528,492,467,487,473
"011 Bressanone",2991,3120,3249,3402,3563,3713,3948,4110,4217,4259,4473,4848,5261,5333,5272,5318,5421,5521,5539,5562,5704,5971,6128,6267,6332,6343,6484,6628,6675
"012 Bronzolo",260,253,252,255,273,291,282,272,373,392,432,421,424,423,409,383,383,372,305,250,260,258,274,307,332,326,324,317,305
"013 Brunico",3990,4160,4301,4452,4653,4878,5128,5394,5455,5468,5565,5737,6113,6304,6223,6344,6533,6663,6706,6846,6927,7090,7301,7449,7438,7375,7617,7601,7640
"014 Caines",9,9,8,8,9,11,10,7,9,7,7,23,29,25,20,23,23,19,19,19,17,18,20,25,26,24,26,24,24
"015 Caldaro s.s.d.v.",708,718,741,783,788,785,787,819,810,822,830,846,895,930,935,980,1024,1045,1018,1035,1063,1103,1170,1207,1248,1163,1226,1310,1314
"016 Campo di Trens",149,159,182,212,227,245,258,275,297,327,385,399,398,438,456,479,499,548,534,523,486,483,541,582,640,669,699,721,732
"017 Campo Tures",951,925,941,959,978,1019,1020,1015,1040,1122,1219,1281,1324,1292,1293,1314,1285,1284,1282,1243,1199,1222,1262,1377,1423,1412,1466,1531,1499
"018 Castelbello-Ciardes",163,176,181,186,197,199,219,217,218,207,224,232,234,242,262,275,294,308,309,336,335,344,354,353,374,380,388,367,360
"019 Castelrotto",578,595,582,606,600,605,639,688,690,692,677,726,813,880,942,955,1000,978,939,935,979,1015,1052,1145,1176,1046,1003,1255,1302
"020 Cermes",144,130,155,175,170,172,159,130,139,163,158,149,145,154,148,147,158,174,200,237,247,253,259,272,313,285,297,302,263
"021 Chienes",444,444,441,450,451,491,497,515,538,586,627,658,661,604,604,617,627,648,654,651,647,658,688,715,749,709,721,820,825
"022 Chiusa",645,657,666,678,694,729,736,727,756,777,792,824,902,928,904,873,831,824,846,857,881,906,924,928,908,847,867,855,861
"023 Cornedo all'Isarco",323,319,335,365,380,399,387,363,349,361,412,447,486,540,561,566,594,567,565,568,595,610,643,676,710,723,726,714,679
"024 Cortaccia s.s.d.v.",166,175,178,188,199,221,243,249,261,286,372,434,434,449,483,515,525,554,572,573,552,575,596,645,669,676,707,735,799
"025 Cortina s.s.d.v.",24,20,23,22,26,26,25,28,25,27,26,28,34,34,34,37,38,40,40,39,36,37,36,37,43,33,41,52,58
"026 Corvara in Badia",422,423,425,434,419,418,414,444,464,479,519,505,541,551,561,533,510,513,491,474,497,512,526,544,552,458,393,556,575
"027 Curon Venosta",77,77,78,85,83,79,88,92,102,99,112,112,104,119,118,115,123,134,136,140,150,155,169,179,189,166,151,196,208
"028 Dobbiaco",349,355,361,368,367,372,380,377,373,382,391,422,465,490,501,510,539,528,530,528,539,530,544,542,553,504,510,532,535
"029 Egna",1089,1086,1114,1087,1048,1109,1203,1391,1730,1811,1825,1870,1964,1988,1968,1962,1984,2006,1965,1934,1902,1945,1984,2040,2064,2022,2074,2098,2103
"030 Falzes",118,129,132,143,140,128,131,138,152,180,188,189,191,192,219,219,218,224,236,241,264,285,293,321,338,327,338,326,376
"031 Fie' allo Sciliar",138,143,138,138,146,138,148,164,192,215,218,228,243,253,249,258,260,271,250,246,251,270,297,306,326,329,337,373,383
"032 Fortezza",166,165,169,196,227,229,247,234,226,194,167,164,170,194,207,185,174,173,186,195,207,211,257,345,363,357,375,316,285
"033 Funes",40,43,47,51,45,46,46,56,59,64,74,78,77,78,83,92,98,99,95,94,96,97,104,112,114,100,105,113,117
"034 Gais",172,177,185,202,216,239,249,253,267,293,295,311,320,357,356,365,366,379,397,442,452,469,502,507,504,481,500,530,541
"035 Gargazzone",118,111,124,149,151,143,153,176,166,188,192,180,168,163,219,233,239,260,267,264,252,283,301,315,327,298,299,312,294
"036 Glorenza",142,155,164,163,166,175,185,190,202,217,224,206,228,231,235,243,248,289,299,290,289,298,287,279,281,273,291,296,307
"037 Laces",431,470,498,515,535,547,548,576,619,649,684,701,711,769,771,795,806,775,793,807,811,808,844,896,945,865,899,904,923
"038 Lagundo",841,844,857,884,892,873,821,822,840,858,871,932,1048,1129,1145,1170,1171,1183,1235,1211,1201,1247,1321,1377,1406,1291,1468,1586,1623
"039 Laion",395,402,415,379,370,373,361,343,314,282,251,255,244,242,248,242,242,250,256,272,304,309,321,326,333,325,331,345,357
"040 Laives",1616,1778,2020,1929,1988,2069,2092,2044,2028,2108,2124,2222,2414,2353,2217,2178,2281,2313,2316,2392,2454,2511,2592,2649,2721,2759,2754,2624,2598
"041 Lana",1424,1467,1533,1605,1649,1704,1760,1798,1885,1892,1957,2039,2144,2233,2311,2375,2468,2491,2480,2455,2527,2619,2774,2883,3030,3065,3201,3273,3428
"042 Lasa",234,346,352,391,406,421,444,464,464,454,475,484,508,537,550,570,606,635,643,682,672,700,741,724,711,687,676,685,652
"043 Lauregno",12,15,13,12,12,11,15,16,16,16,14,16,20,22,21,22,22,21,20,22,23,23,20,19,18,18,18,18,17
"044 Luson",30,27,23,25,25,22,26,31,33,41,46,53,56,60,68,76,82,90,86,86,92,114,127,113,123,100,111,126,134
"045 Magre' s.s.d.v.",75,71,74,74,63,60,74,107,117,107,126,129,135,142,148,155,157,171,172,178,187,179,191,194,193,199,192,209,222
"046 Malles Venosta",313,336,371,390,400,413,398,371,386,414,457,514,545,531,557,570,614,650,653,643,674,718,722,762,798,789,811,840,868
"047 Marebbe",102,104,107,108,120,125,134,166,167,174,184,195,227,233,242,233,233,226,220,227,243,245,250,265,293,252,231,297,304
"048 Marlengo",340,326,340,343,342,359,363,377,382,356,364,370,367,404,433,439,453,456,455,482,506,548,605,626,638,543,575,666,678
"049 Martello",8,11,13,20,24,23,22,21,22,22,22,26,35,30,30,33,30,30,34,40,47,47,48,43,46,44,41,48,51
"050 Meltina",19,17,13,15,19,25,35,42,47,43,50,55,59,62,54,55,61,58,54,52,56,64,68,66,67,64,62,66,78
"051 Merano",3948,3981,4107,4331,4471,4707,4919,5108,5244,5436,5592,5892,6306,6573,6597,6657,6780,6767,6660,6753,6891,6942,7014,7179,7318,7179,7335,7378,7338
"052 Monguelfo-Tesido",328,330,344,353,357,367,363,350,363,395,408,433,456,478,502,487,481,483,487,473,470,491,494,545,688,682,725,739,722
"053 Montagna s.s.d.v.",115,120,121,122,128,117,121,131,134,136,141,157,166,171,175,166,163,158,157,168,178,194,214,227,246,245,262,288,298
"054 Moso in Passiria",16,22,23,24,28,30,28,29,34,35,42,48,63,72,75,80,82,91,101,107,114,126,130,132,131,142,139,151,151
"055 Nalles",116,117,116,114,121,134,157,180,185,194,200,213,226,254,259,255,273,293,320,317,316,326,348,359,383,368,383,387,416
"056 Naturno",620,618,601,598,652,711,732,804,814,824,846,898,919,963,1020,1062,1084,1092,1132,1135,1158,1203,1226,1274,1331,1212,1230,1276,1279
"057 Naz-Sciaves",247,274,304,320,341,362,366,368,361,398,399,419,442,459,437,417,422,415,416,447,467,483,487,546,555,524,565,606,622
"058 Nova Levante",85,87,83,83,88,87,101,95,102,90,84,83,90,100,130,132,137,130,123,126,143,155,167,179,195,173,159,201,224
